2025-04-22 14:40:41,396 INFO    MainThread:13550 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_setup.py:_flush():67] Configure stats pid to 13550
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_setup.py:_flush():67] Loading settings from /run/determined/workdir/.config/wandb/settings
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_setup.py:_flush():67] Loading settings from /pfss/mlde/workspaces/mlde_wsp_PI_Heinz/cai/dpr-scale/scripts/contriever/outputs/2025-04-22/14-37-29/wandb/settings
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /pfss/mlde/workspaces/mlde_wsp_PI_Heinz/cai/dpr-scale/scripts/contriever/outputs/2025-04-22/14-37-29/wandb/offline-run-20250422_144041-/pfss/mlde/workspaces/mlde_wsp_PI_Heinz/cai/dpr-scale/logs/contriever.prop.msmarco.ep20.bs16.neg7.max_length512.lr1e-5/logs/debug.log
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /pfss/mlde/workspaces/mlde_wsp_PI_Heinz/cai/dpr-scale/scripts/contriever/outputs/2025-04-22/14-37-29/wandb/offline-run-20250422_144041-/pfss/mlde/workspaces/mlde_wsp_PI_Heinz/cai/dpr-scale/logs/contriever.prop.msmarco.ep20.bs16.neg7.max_length512.lr1e-5/logs/debug-internal.log
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:init():781] calling init triggers
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:init():809] starting backend
2025-04-22 14:40:41,397 INFO    MainThread:13550 [wandb_init.py:init():813] sending inform_init request
2025-04-22 14:40:41,424 INFO    MainThread:13550 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-22 14:40:41,424 INFO    MainThread:13550 [wandb_init.py:init():823] backend started and connected
2025-04-22 14:40:41,427 INFO    MainThread:13550 [wandb_init.py:init():915] updated telemetry
2025-04-22 14:40:41,743 INFO    MainThread:13550 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-22 14:40:41,749 INFO    MainThread:13550 [wandb_init.py:init():1014] starting run threads in backend
2025-04-22 14:40:41,975 INFO    MainThread:13550 [wandb_run.py:_console_start():2454] atexit reg
2025-04-22 14:40:41,975 INFO    MainThread:13550 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-22 14:40:41,975 INFO    MainThread:13550 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-22 14:40:41,975 INFO    MainThread:13550 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-22 14:40:41,980 INFO    MainThread:13550 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-22 14:44:14,007 INFO    MsgRouterThr:13550 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
